ts,block,log_index,tx,usds_total,usds_buyback,usds_to_stakers,sky_bought,splitter_burn,splitter_hop,farm,flapper
2024-11-14T21:18:35Z,21188570,214,0x179063767460e1f35a8642a8d9a2efa9a9d3beaefdd231ae9d59355982ba554f,25000,17500,7500,293100.087596873636415082,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T01:40:11Z,21189870,79,0x858494ec582e15a4291cb4ce7c03b3334b7a8a207f77019910fab107b1224bf2,25000,17500,7500,294330.187198081146891134,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T06:01:11Z,21191171,136,0x0207b794ddcc6cc55bde5bb9970a7def7d583310acd6499f42b607170cddfca6,25000,17500,7500,294184.465996830275963726,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T10:22:11Z,21192470,72,0xe540f385a64dfb971c01989b03386844fe26c942fb6504c8f4a5b44c1aca0269,25000,17500,7500,288700.848779140192955766,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T14:43:23Z,21193764,41,0x2b55330687f900c95b171689e5dc33befebc410a0476b321cc3062c487c39dc0,25000,17500,7500,290137.232259590630085438,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T19:04:47Z,21195064,92,0x3271d43b34af4eca7eff6ae02b9ac6f8ea81648e195171e33518aea94a8d139d,25000,17500,7500,289362.168231827048957596,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-15T23:25:59Z,21196362,72,0x2e01ca8104b6a783d21432f4cc1f162cd341d793b1a13a904e03f802c3b7b288,25000,17500,7500,290198.56242146196109176,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-16T03:47:11Z,21197662,58,0x22019d8000050ac15c67b2354c5454d5b9bab65b3387e4f91fb21887b9cdfb81,25000,17500,7500,288885.754111240744731844,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-16T08:08:23Z,21198963,114,0xdbf7b90a29ed36f865b7fb630a40a98b8ed9ae6c0e8fe59e1459cd663575cc11,25000,17500,7500,289649.249535059102690533,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-16T12:29:35Z,21200264,89,0x0f5c7588548a75d5449ee69cb713e298f014d2a2841eb6ebdc8532d574298fc4,25000,17500,7500,283151.619574375212180668,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-16T16:50:47Z,21201564,57,0xaae4f09b27b4f0eb47c2e04bf97d4a92ab10af79b15465b34c1ea5ae72bb204a,25000,17500,7500,276560.989469410205355907,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-16T21:11:59Z,21202866,150,0xe2349c5bf96bf1258b47b8cec9fa6993e5d202d6f38e8a1b2e27e92822495f37,25000,17500,7500,274442.103725749054885678,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-17T01:33:11Z,21204167,156,0x7b7c9e8561c086fd2fcee85e9fcfc7b5b65687b6e5f78d49ea2246c39a52b6b2,25000,17500,7500,274298.423337642232368285,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
2024-11-17T05:54:35Z,21205468,45,0x6d6cca91d3e879e985e9978344c5bb819b73d11731df3addd53365184dfbbb3e,25000,17500,7500,280111.984464986960560633,0.7,15649,0x92282235a39be957ff1f37619fd22a9ae5507cb1,0x374d9c3d5134052bc558f432afa1df6575f07407
